,true_x,true_y,true_yaw,odo_x,odo_y,odo_yaw,z_x,z_y,u_dl,u_dtheta,z_n,u_dl_n,u_dtheta_n
271,4.18772951355,19.1037635353,2.72,4.45121478209,19.3095360503,2.57877474321,0.0,0.0,0.0903552681285,0.0172364641253,0.0,0.05,0.01
272,4.09648567741,19.1446849523,2.73,4.37182573978,19.3596211703,2.60105420312,0.0,0.0,0.0938676689833,0.0222794599005,0.0,0.05,0.01
273,4.00483719608,19.1846919,2.74,4.24710914557,19.4344713039,2.60912018337,0.0,0.0,0.145453674342,0.00806598025184,0.0,0.05,0.01
274,3.91279323432,19.2237803779,2.75,4.18897320055,19.4687275086,2.62665043466,0.0,0.0,0.0674779642768,0.0175302512976,0.0,0.05,0.01
275,3.82036299646,19.2619464771,2.76,4.16074155155,19.4847028194,2.62590194573,0.0,0.0,0.0324381959821,-0.00074848893909,0.0,0.05,0.01
276,3.72755572544,19.2991863811,2.77,4.11405231237,19.5111687959,2.63222062382,0.0,0.0,0.053668733637,0.00631867809466,0.0,0.05,0.01
277,3.63438070191,19.3354963658,2.78,3.99460168359,19.5778860996,2.66411097286,0.0,0.0,0.136819776811,0.0318903490442,0.0,0.05,0.01
278,3.54084724329,19.3708728003,2.79,3.90139316277,19.6261135076,2.67697235155,0.0,0.0,0.104946230222,0.0128613786814,0.0,0.05,0.01
279,3.44696470287,19.405312147,2.8,3.83915934249,19.6573061226,2.68599632085,3.41687881267,19.5326480971,0.0696134154968,0.00902396929954,0.1,0.05,0.01
280,3.3527424688,19.4388109621,2.81,3.79951993386,19.6767284831,2.70426777825,0.0,0.0,0.0441419392852,0.0182714574054,0.0,0.05,0.01
281,3.25818996324,19.4713658955,2.82,3.70566360449,19.7206078757,2.72712647161,0.0,0.0,0.103607005811,0.0228586933592,0.0,0.05,0.01
282,3.16331664135,19.5029736919,2.83,3.68580463917,19.7293448559,2.75687284132,0.0,0.0,0.0216959288046,0.0297463697092,0.0,0.05,0.01
283,3.0681319904,19.5336311906,2.84,3.57864416198,19.77273369,2.77187077169,0.0,0.0,0.115611239934,0.0149979303667,0.0,0.05,0.01
284,2.97264552876,19.5633353257,2.85,3.57799630565,19.7729847623,2.78536858817,0.0,0.0,0.000694805824355,0.0134978164835,0.0,0.05,0.01
285,2.87686680501,19.5920831269,2.86,3.41740986621,19.8327386623,2.79986835348,0.0,0.0,0.17134331938,0.0144997653063,0.0,0.05,0.01
